id,name_en,name_ar,slug,lat,lon,parent_id,gov_en,gov_ar
EG0307,Al-Zohour,قسم الزهور,al-zohour-eg0307,31.266,32.266,EG03,Port Said,بورسعيد
EG0213,Al Amreia,قسم العامرية,al-amreia-eg0213,30.959,29.828,EG02,Alexandria,الاسكندرية
EG0206,Al Attarin,قسم العطارين,al-attarin-eg0206,31.198,29.904,EG02,Alexandria,الاسكندرية
EG0113,Al Azbakiyya,قسم الأزبكية,al-azbakiyya-eg0113,30.06,31.246,EG01,Cairo,القاهرة
EG0114,Al Darb al-Ahmar,قسم الدرب الأحمر,al-darb-al-ahmar-eg0114,30.041,31.26,EG01,Cairo,القاهرة
EG0212,Al Dikhila,قسم الدخيلة,al-dikhila-eg0212,31.119,29.806,EG02,Alexandria,الاسكندرية
EG3203,Al Farafra Oasis,مركز الفرافرة,al-farafra-oasis-eg3203,27.205,26.76,EG32,New Valley,الوادى الجديد
EG2204,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,EG22,Beni Suef,بنى سويف
EG0210,Al Gumruk,قسم الجمرك,al-gumruk-eg0210,31.203,29.879,EG02,Alexandria,الاسكندرية
EG1511,Al Hamul,مركز الحامول,al-hamul-eg1511,31.388,31.075,EG15,Kafr El-Shikh,كفر الشيخ
EG0108,Al Khalifa,قسم الخليفة,al-khalifa-eg0108,30.01,31.296,EG01,Cairo,القاهرة
EG1403,Al Khanka,مركز الخانكة,al-khanka-eg1403,30.231,31.358,EG14,Kalyoubia,القليوبية
EG0207,Al Manshiyya,قسم المنشية,al-manshiyya-eg0207,31.198,29.892,EG02,Alexandria,الاسكندرية
EG0125,Al Matariyya,قسم المطرية,al-matariyya-eg0125,30.128,31.304,EG01,Cairo,القاهرة
EG0202,Al Raml,قسم أول الرمل,al-raml-eg0202,31.237,29.986,EG02,Alexandria,الاسكندرية
EG0121,Al Sahil,قسم الساحل,al-sahil-eg0121,30.092,31.247,EG01,Cairo,القاهرة
EG0132,Al Salam,قسم السلام,al-salam-eg0132,30.162,31.428,EG01,Cairo,القاهرة
EG0118,Al Sharabiyya,قسم الشرابية,al-sharabiyya-eg0118,30.082,31.264,EG01,Cairo,القاهرة
EG0101,Al Tibbin,قسم التبين,al-tibbin-eg0101,29.781,31.337,EG01,Cairo,القاهرة
EG2617,Al Usayrat,مركز العسيرات,al-usayrat-eg2617,26.401,31.815,EG26,Suhag,سوهاج
EG2712,Al Waqf,مركز الوقف,al-waqf-eg2712,26.084,32.448,EG27,Qena,قنا
EG2205,Al Wasta,مركز الواسطى,al-wasta-eg2205,29.324,31.17,EG22,Beni Suef,بنى سويف
EG0122,Al Wayli,قسم الوايلي,al-wayli-eg0122,30.072,31.283,EG01,Cairo,القاهرة
EG0117,Al Zahir,قسم الظاهر,al-zahir-eg0117,30.063,31.268,EG01,Cairo,القاهرة
EG0124,Al Zaytun,قسم الزيتون,al-zaytun-eg0124,30.1,31.301,EG01,Cairo,القاهرة
EG3307,Alamn,قسم مارينا العلمين السياحية,alamn-eg3307,30.782,28.74,EG33,Matrouh,مطروح
EG2513,Alfath,مركز الفتح,alfath-eg2513,27.218,31.212,EG25,Assiut,أسيوط
EG2704,Armant,مركز أرمنت,armant-eg2704,25.612,32.492,EG27,Qena,قنا
EG1703,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,EG17,Menoufia,المنوفية
EG2503,Assuit,مركز أسيوط,assuit-eg2503,27.117,31.232,EG25,Assiut,أسيوط
EG2514,Assuit City,مدينة اسيوط الجديدة,assuit-city-eg2514,27.254,31.281,EG25,Assiut,أسيوط
EG2801,Aswan,قسم أسوان,aswan-eg2801,24.063,32.901,EG28,Aswan,أسوان
EG2802,Aswan,مركز أسوان,aswan-eg2802,23.972,32.831,EG28,Aswan,أسوان
EG2808,Aswan City,مدينة أسوان الجديدة,aswan-city-eg2808,24.068,32.983,EG28,Aswan,أسوان
EG0403,Ataqa,قسم عتاقة,ataqa-eg0403,29.539,32.128,EG04,Suez,السويس
